Municipios,Distritos,Secciones,Índice de Gini y Distribución de la renta P80/P20,Periodo,Total
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Distribución de la renta P80/P20,2017,3.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Distribución de la renta P80/P20,2016,3.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901011 Barcelona sección 01011,Distribución de la renta P80/P20,2015,3.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901012 Barcelona sección 01012,Índice de Gini,2023,32.9
08019 Barcelona,0801901 Barcelona distrito 01,0801901012 Barcelona sección 01012,Índice de Gini,2022,33.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901012 Barcelona sección 01012,Índice de Gini,2021,34.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901012 Barcelona sección 01012,Índice de Gini,2020,33
08019 Barcelona,0801901 Barcelona distrito 01,0801901012 Barcelona sección 01012,Índice de Gini,2019,33.9
08019 Barcelona,0801901 Barcelona distrito 01,0801901012 Barcelona sección 01012,Índice de Gini,2018,33
08019 Barcelona,0801901 Barcelona distrito 01,0801901012 Barcelona sección 01012,Índice de Gini,2017,35.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901012 Barcelona sección 01012,Índice de Gini,2016,34.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901012 Barcelona sección 01012,Índice de Gini,2015,35.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901012 Barcelona sección 01012,Distribución de la renta P80/P20,2023,2.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901012 Barcelona sección 01012,Distribución de la renta P80/P20,2022,2.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901012 Barcelona sección 01012,Distribución de la renta P80/P20,2021,3.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901012 Barcelona sección 01012,Distribución de la renta P80/P20,2020,2.9
08019 Barcelona,0801901 Barcelona distrito 01,0801901012 Barcelona sección 01012,Distribución de la renta P80/P20,2019,3
08019 Barcelona,0801901 Barcelona distrito 01,0801901012 Barcelona sección 01012,Distribución de la renta P80/P20,2018,3
